disagreement_id,kind,session_id,event_name,reference_frame,decision,consensus_reference_frame,consensus_x_px,consensus_y_px,adjudication_status,reason,adjudicator_id
D0001,event,2850af90-f8fc-4050-a178-b659098e69df,address,,mean,32,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0002,event,2850af90-f8fc-4050-a178-b659098e69df,downswing_transition,,mean,55,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0003,event,2850af90-f8fc-4050-a178-b659098e69df,impact,,mean,58,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0004,event,2850af90-f8fc-4050-a178-b659098e69df,top_backswing,,mean,54,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0005,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,address,,mean,98,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0006,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,downswing_transition,,mean,127,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0007,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,impact,,mean,131,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0008,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,top_backswing,,mean,123,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0009,event,32fec03e-0046-4581-885b-ef0d7f174e53,address,,mean,75,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0010,event,32fec03e-0046-4581-885b-ef0d7f174e53,downswing_transition,,mean,90,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0011,event,32fec03e-0046-4581-885b-ef0d7f174e53,impact,,mean,106,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0012,event,32fec03e-0046-4581-885b-ef0d7f174e53,top_backswing,,mean,86,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0013,event,332a7a76-cfa3-449e-9150-f93050fed050,address,,mean,4,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0014,event,332a7a76-cfa3-449e-9150-f93050fed050,downswing_transition,,mean,54,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0015,event,332a7a76-cfa3-449e-9150-f93050fed050,impact,,mean,69,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0016,event,332a7a76-cfa3-449e-9150-f93050fed050,top_backswing,,mean,49,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0017,event,36b05de8-5e98-425f-8b72-8e505337e150,address,,mean,0,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0018,event,36b05de8-5e98-425f-8b72-8e505337e150,downswing_transition,,mean,60,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0019,event,36b05de8-5e98-425f-8b72-8e505337e150,impact,,mean,70,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0020,event,36b05de8-5e98-425f-8b72-8e505337e150,top_backswing,,mean,48,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0021,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,address,,mean,59,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
D0022,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,downswing_transition,,mean,143,,,resolved,midpoint of Ivan and Daria frames (disclosed mean rule),Ivan Syniuk
