comparison,domain,group,n_pairs,n_sessions,median_abs_frame,mean_abs_frame,sd_abs_frame,p95_abs_frame,min_abs_frame,max_abs_frame,median_abs_ms,exact_frame_frac,within_1_frame_frac,within_2_frame_frac,bias_frame,loa_low_frame,loa_high_frame,session_median_abs_frame,session_median_abs_frame_ci_low,session_median_abs_frame_ci_high,note,median_pixel,mean_pixel,sd_pixel,p95_pixel,max_pixel,median_pct_diag,session_median_pixel,session_median_pixel_ci_low,session_median_pixel_ci_high,n_over_10px,n_over_25px,n_over_50px
inter_rater,event,address,25,25,2.0,3.4,3.3541019662496843,8.799999999999997,0.0,12.0,40.0,0.2,0.4,0.52,-0.44,-9.858202800959425,8.978202800959426,2.0,1.0,4.0,,,,,,,,,,,,,
inter_rater,event,downswing_transition,25,25,4.0,5.4,5.172040216394301,10.0,1.0,26.0,80.0,0.0,0.08,0.32,-2.2,-16.34508159514583,11.945081595145833,4.0,2.0,7.0,,,,,,,,,,,,,
inter_rater,event,impact,25,25,4.0,4.08,4.508510470950097,11.599999999999994,0.0,19.0,66.66666666666667,0.24,0.36,0.44,0.32,-11.692097901698936,12.332097901698937,4.0,1.0,5.0,,,,,,,,,,,,,
inter_rater,event,top_backswing,25,25,5.0,6.16,4.955468359970293,12.599999999999994,0.0,23.0,100.0,0.08,0.12,0.16,2.0,-13.171547932451277,17.171547932451276,5.0,4.0,8.0,,,,,,,,,,,,,
inter_rater,event,ALL,100,25,4.0,4.76,4.6124994867372635,12.0,0.0,26.0,80.0,0.13,0.24,0.36,-0.08,-13.104071178422132,12.944071178422131,4.0,3.0,5.5,top_backswing vs downswing_transition distinguishability reported separately,,,,,,,,,,,,
inter_rater,event_definition,top_vs_transition_gap_annotator_a,25,25,3.0,3.12,1.6911534525287764,6.0,1.0,8.0,,0.0,0.08,0.48,,,,3.0,,,Same-session |top-transition| gap for one annotator; not ICC,,,,,,,,,,,,
inter_rater,event_definition,top_vs_transition_gap_annotator_b,25,25,3.0,7.32,9.159330397650985,28.399999999999977,1.0,35.0,,0.0,0.36,0.4,,,,3.0,,,Same-session |top-transition| gap for one annotator; not ICC,,,,,,,,,,,,
intra_rater_ivan,event,address,10,10,1.5,1.4,1.1737877907772674,3.0,0.0,3.0,27.110355987055016,0.3,0.5,0.8,-0.4,-4.0022314072129115,3.202231407212911,1.5,0.0,2.5,,,,,,,,,,,,,
intra_rater_ivan,event,downswing_transition,10,10,2.0,2.8,2.573367875415838,6.549999999999999,0.0,7.0,46.66666666666667,0.2,0.5,0.5,-0.8,-8.294846822243192,6.694846822243193,2.0,0.5,5.0,,,,,,,,,,,,,
intra_rater_ivan,event,impact,10,10,2.0,4.2,3.7058512292499457,10.549999999999999,1.0,11.0,53.333333333333336,0.0,0.2,0.6,-1.8,-12.487542904397312,8.88754290439731,2.0,1.5,6.0,,,,,,,,,,,,,
intra_rater_ivan,event,top_backswing,10,10,3.0,3.6,2.547329756605707,7.649999999999997,1.0,9.0,73.33333333333334,0.0,0.2,0.5,0.6,-8.271872156177386,9.471872156177385,3.0,1.5,5.0,,,,,,,,,,,,,
intra_rater_ivan,event,ALL,40,10,2.0,3.0,2.7642405179408036,9.049999999999997,0.0,11.0,40.0,0.125,0.35,0.6,-0.6,-8.562176226158916,7.362176226158917,2.0,1.5,3.0,top_backswing vs downswing_transition distinguishability reported separately,,,,,,,,,,,,
intra_rater_ivan,event_definition,top_vs_transition_gap_annotator_a,10,10,3.0,3.4,1.6465452046971292,6.0,2.0,6.0,,0.0,0.0,0.4,,,,3.0,,,Same-session |top-transition| gap for one annotator; not ICC,,,,,,,,,,,,
intra_rater_ivan,event_definition,top_vs_transition_gap_annotator_b,10,10,2.0,4.8,6.1788168590578705,16.299999999999994,1.0,19.0,,0.0,0.4,0.6,,,,2.0,,,Same-session |top-transition| gap for one annotator; not ICC,,,,,,,,,,,,
inter_rater,point,ALL_planned,150,25,,,,,,,,,,,,,,,,,Inter/intra-rater human clicks only; not algorithm agreement,77.11350295454099,87.03839981693227,49.504426186502535,183.34708368046725,219.44019686465833,4.029989336683305,73.28214466823218,68.98187767923737,81.25150450103186,150.0,145.0,104.0
intra_rater_ivan,point,ALL_planned,60,10,,,,,,,,,,,,,,,,,Inter/intra-rater human clicks only; not algorithm agreement,78.52621190597031,90.97799740377681,56.146183187344334,186.27561921718086,211.20606051910536,3.8476254379718293,72.56920761061433,65.81531340963062,86.29114583822889,60.0,56.0,43.0
