disagreement_id,kind,session_id,event_name,reference_frame,plan_index,phase_label,annotator_a,annotator_b,round_a,round_b,frame_a,time_s_a,frame_b,time_s_b,x_a,y_a,x_b,y_b,frame_abs_diff,pixel_distance,match_status,needs_adjudication
D0001,event,2850af90-f8fc-4050-a178-b659098e69df,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,32,1.06667,33,1.1,,,,,1.0,,both,yes
D0002,event,2850af90-f8fc-4050-a178-b659098e69df,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,54,1.8,56,1.86667,,,,,2.0,,both,yes
D0003,event,2850af90-f8fc-4050-a178-b659098e69df,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,59,1.96667,57,1.9,,,,,2.0,,both,yes
D0004,event,2850af90-f8fc-4050-a178-b659098e69df,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,53,1.76667,55,1.83333,,,,,2.0,,both,yes
D0005,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,96,3.2,99,3.3,,,,,3.0,,both,yes
D0006,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,125,4.16667,129,4.3,,,,,4.0,,both,yes
D0007,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,131,4.36667,131,4.36667,,,,,0.0,,both,optional
D0008,event,2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,123,4.1,123,4.1,,,,,0.0,,both,optional
D0009,event,32fec03e-0046-4581-885b-ef0d7f174e53,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,71,2.36667,79,2.63333,,,,,8.0,,both,yes
D0010,event,32fec03e-0046-4581-885b-ef0d7f174e53,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,91,3.03333,89,2.96667,,,,,2.0,,both,yes
D0011,event,32fec03e-0046-4581-885b-ef0d7f174e53,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,97,3.23333,116,3.86667,,,,,19.0,,both,yes
D0012,event,32fec03e-0046-4581-885b-ef0d7f174e53,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,90,3.0,81,2.7,,,,,9.0,,both,yes
D0013,event,332a7a76-cfa3-449e-9150-f93050fed050,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,8,0.16,1,0.02,,,,,7.0,,both,yes
D0014,event,332a7a76-cfa3-449e-9150-f93050fed050,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,53,1.06,54,1.08,,,,,1.0,,both,yes
D0015,event,332a7a76-cfa3-449e-9150-f93050fed050,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,63,1.26,75,1.5,,,,,12.0,,both,yes
D0016,event,332a7a76-cfa3-449e-9150-f93050fed050,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,51,1.02,47,0.94,,,,,4.0,,both,yes
D0017,event,36b05de8-5e98-425f-8b72-8e505337e150,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,0,0.0,0,0.0,,,,,0.0,,both,optional
D0018,event,36b05de8-5e98-425f-8b72-8e505337e150,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,56,1.16783,65,1.35551,,,,,9.0,,both,yes
D0019,event,36b05de8-5e98-425f-8b72-8e505337e150,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,73,1.52235,66,1.37637,,,,,7.0,,both,yes
D0020,event,36b05de8-5e98-425f-8b72-8e505337e150,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,54,1.12612,43,0.89672,,,,,11.0,,both,yes
D0021,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,59,0.98432,59,0.98432,,,,,0.0,,both,optional
D0022,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,130,2.16883,156,2.6026,,,,,26.0,,both,yes
D0023,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,147,2.45245,157,2.61928,,,,,10.0,,both,yes
D0024,event,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,127,2.11878,126,2.1021,,,,,1.0,,both,yes
D0025,event,3d47c3b9-21d9-4794-995d-52804115fb8b,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,1,0.02,6,0.12,,,,,5.0,,both,yes
D0026,event,3d47c3b9-21d9-4794-995d-52804115fb8b,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,28,0.56,32,0.64,,,,,4.0,,both,yes
D0027,event,3d47c3b9-21d9-4794-995d-52804115fb8b,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,37,0.74,33,0.66,,,,,4.0,,both,yes
D0028,event,3d47c3b9-21d9-4794-995d-52804115fb8b,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,26,0.52,30,0.6,,,,,4.0,,both,yes
D0029,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,1,0.02,0,0.0,,,,,1.0,,both,yes
D0030,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,46,0.92,36,0.72,,,,,10.0,,both,yes
D0031,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,58,1.16,55,1.1,,,,,3.0,,both,yes
D0032,event,42f8729a-ed28-45a2-bf9b-397d2d698bb0,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,43,0.86,35,0.7,,,,,8.0,,both,yes
D0033,event,48c9026f-11c4-410d-82ec-f33d477d9db6,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,38,1.26966,31,1.03578,,,,,7.0,,both,yes
D0034,event,48c9026f-11c4-410d-82ec-f33d477d9db6,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,180,6.01418,188,6.28148,,,,,8.0,,both,yes
D0035,event,48c9026f-11c4-410d-82ec-f33d477d9db6,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,238,7.95209,234,7.81844,,,,,4.0,,both,yes
D0036,event,48c9026f-11c4-410d-82ec-f33d477d9db6,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,174,5.81371,187,6.24807,,,,,13.0,,both,yes
D0037,event,511a396b-aa38-4056-a980-76723ed0c05f,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,55,0.91758,57,0.95095,,,,,2.0,,both,yes
D0038,event,511a396b-aa38-4056-a980-76723ed0c05f,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,131,2.18552,134,2.23557,,,,,3.0,,both,yes
D0039,event,511a396b-aa38-4056-a980-76723ed0c05f,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,147,2.45245,139,2.31898,,,,,8.0,,both,yes
D0040,event,511a396b-aa38-4056-a980-76723ed0c05f,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,127,2.11878,133,2.21888,,,,,6.0,,both,yes
D0041,event,57660e2f-8425-445f-bca0-17c6e557f1b0,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,27,0.54,23,0.46,,,,,4.0,,both,yes
D0042,event,57660e2f-8425-445f-bca0-17c6e557f1b0,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,184,3.68,177,3.54,,,,,7.0,,both,yes
D0043,event,57660e2f-8425-445f-bca0-17c6e557f1b0,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,243,4.86,242,4.84,,,,,1.0,,both,yes
D0044,event,57660e2f-8425-445f-bca0-17c6e557f1b0,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,180,3.6,174,3.48,,,,,6.0,,both,yes
D0045,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,1,0.02,5,0.1,,,,,4.0,,both,yes
D0046,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,47,0.94,48,0.96,,,,,1.0,,both,yes
D0047,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,61,1.22,60,1.2,,,,,1.0,,both,yes
D0048,event,7473617c-26a8-428f-9ba6-fc51dd7d2156,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,44,0.88,36,0.72,,,,,8.0,,both,yes
D0049,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,3,0.06,2,0.04,,,,,1.0,,both,yes
D0050,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,36,0.72,39,0.78,,,,,3.0,,both,yes
D0051,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,45,0.9,43,0.86,,,,,2.0,,both,yes
D0052,event,7f7bf52f-1a8f-4c38-8d68-41b634af50ab,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,34,0.68,38,0.76,,,,,4.0,,both,yes
D0053,event,81681211-21c8-4d55-9d89-095b3a80d022,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,59,1.18,57,1.14,,,,,2.0,,both,yes
D0054,event,81681211-21c8-4d55-9d89-095b3a80d022,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,421,8.42,423,8.46,,,,,2.0,,both,yes
D0055,event,81681211-21c8-4d55-9d89-095b3a80d022,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,535,10.7,530,10.6,,,,,5.0,,both,yes
D0056,event,81681211-21c8-4d55-9d89-095b3a80d022,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,415,8.3,410,8.2,,,,,5.0,,both,yes
D0057,event,82b83897-42aa-447f-82ea-5e471706e7c5,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,3,0.05,6,0.1,,,,,3.0,,both,yes
D0058,event,82b83897-42aa-447f-82ea-5e471706e7c5,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,41,0.68333,32,0.53333,,,,,9.0,,both,yes
D0059,event,82b83897-42aa-447f-82ea-5e471706e7c5,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,51,0.85,46,0.76667,,,,,5.0,,both,yes
D0060,event,82b83897-42aa-447f-82ea-5e471706e7c5,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,38,0.63333,27,0.45,,,,,11.0,,both,yes
D0061,event,82f22494-5871-41de-aebc-9d2012ce6571,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,0,0.0,0,0.0,,,,,0.0,,both,optional
D0062,event,82f22494-5871-41de-aebc-9d2012ce6571,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,26,0.86667,22,0.73333,,,,,4.0,,both,yes
D0063,event,82f22494-5871-41de-aebc-9d2012ce6571,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,33,1.1,29,0.96667,,,,,4.0,,both,yes
D0064,event,82f22494-5871-41de-aebc-9d2012ce6571,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,24,0.8,21,0.7,,,,,3.0,,both,yes
D0065,event,b95e3543-d28d-49db-be02-bbee7efb8425,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,0,0.0,8,0.16,,,,,8.0,,both,yes
D0066,event,b95e3543-d28d-49db-be02-bbee7efb8425,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,27,0.54,29,0.58,,,,,2.0,,both,yes
D0067,event,b95e3543-d28d-49db-be02-bbee7efb8425,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,38,0.76,37,0.74,,,,,1.0,,both,yes
D0068,event,b95e3543-d28d-49db-be02-bbee7efb8425,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,25,0.5,20,0.4,,,,,5.0,,both,yes
D0069,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,64,1.06773,62,1.03437,,,,,2.0,,both,yes
D0070,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,130,2.16883,133,2.21888,,,,,3.0,,both,yes
D0071,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,147,2.45245,147,2.45245,,,,,0.0,,both,optional
D0072,event,ba749048-28f5-497e-8d85-fcbcfedb6f8c,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,127,2.11878,132,2.2022,,,,,5.0,,both,yes
D0073,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,33,0.55,21,0.35,,,,,12.0,,both,yes
D0074,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,215,3.58333,217,3.61667,,,,,2.0,,both,yes
D0075,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,293,4.88333,289,4.81667,,,,,4.0,,both,yes
D0076,event,c638dd17-dbb3-4068-bb40-957442fe9ec9,top_backswing,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,211,3.51667,211,3.51667,,,,,0.0,,both,optional
D0077,event,dfd57aa0-581d-4580-bc43-2a329277309b,address,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,58,1.93333,62,2.06667,,,,,4.0,,both,yes
D0078,event,dfd57aa0-581d-4580-bc43-2a329277309b,downswing_transition,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,154,5.13333,161,5.36667,,,,,7.0,,both,yes
D0079,event,dfd57aa0-581d-4580-bc43-2a329277309b,impact,,,,Ivan Syniuk,Daria Plokhotniuk,1,1,183,6.1,183,6.1,,,,,0.0,,both,optional
