session_id,reference_frame,plan_index,phase_label
36b05de8-5e98-425f-8b72-8e505337e150,1,1,backswing
36b05de8-5e98-425f-8b72-8e505337e150,61,2,downswing
36b05de8-5e98-425f-8b72-8e505337e150,69,3,downswing
36b05de8-5e98-425f-8b72-8e505337e150,73,4,impact_region
36b05de8-5e98-425f-8b72-8e505337e150,80,5,follow_through
36b05de8-5e98-425f-8b72-8e505337e150,83,6,follow_through
82f22494-5871-41de-aebc-9d2012ce6571,1,1,backswing
82f22494-5871-41de-aebc-9d2012ce6571,21,2,backswing
82f22494-5871-41de-aebc-9d2012ce6571,27,3,downswing
82f22494-5871-41de-aebc-9d2012ce6571,32,4,impact_region
82f22494-5871-41de-aebc-9d2012ce6571,34,5,impact_region
82f22494-5871-41de-aebc-9d2012ce6571,36,6,follow_through
c638dd17-dbb3-4068-bb40-957442fe9ec9,33,1,backswing
c638dd17-dbb3-4068-bb40-957442fe9ec9,134,2,backswing
c638dd17-dbb3-4068-bb40-957442fe9ec9,151,3,backswing
c638dd17-dbb3-4068-bb40-957442fe9ec9,225,4,downswing
c638dd17-dbb3-4068-bb40-957442fe9ec9,277,5,downswing
c638dd17-dbb3-4068-bb40-957442fe9ec9,323,6,follow_through
81681211-21c8-4d55-9d89-095b3a80d022,59,1,backswing
81681211-21c8-4d55-9d89-095b3a80d022,273,2,backswing
81681211-21c8-4d55-9d89-095b3a80d022,502,3,downswing
81681211-21c8-4d55-9d89-095b3a80d022,522,4,downswing
81681211-21c8-4d55-9d89-095b3a80d022,547,5,follow_through
81681211-21c8-4d55-9d89-095b3a80d022,562,6,follow_through
2850af90-f8fc-4050-a178-b659098e69df,33,1,backswing
2850af90-f8fc-4050-a178-b659098e69df,44,2,backswing
2850af90-f8fc-4050-a178-b659098e69df,52,3,backswing
2850af90-f8fc-4050-a178-b659098e69df,56,4,downswing
2850af90-f8fc-4050-a178-b659098e69df,59,5,impact_region
2850af90-f8fc-4050-a178-b659098e69df,63,6,follow_through
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,100,1,backswing
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,107,2,backswing
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,122,3,backswing
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,123,4,backswing
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,132,5,impact_region
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,134,6,follow_through
32fec03e-0046-4581-885b-ef0d7f174e53,71,1,backswing
32fec03e-0046-4581-885b-ef0d7f174e53,82,2,backswing
32fec03e-0046-4581-885b-ef0d7f174e53,89,3,backswing
32fec03e-0046-4581-885b-ef0d7f174e53,95,4,impact_region
32fec03e-0046-4581-885b-ef0d7f174e53,97,5,impact_region
32fec03e-0046-4581-885b-ef0d7f174e53,99,6,impact_region
3d47c3b9-21d9-4794-995d-52804115fb8b,1,1,backswing
3d47c3b9-21d9-4794-995d-52804115fb8b,17,2,backswing
3d47c3b9-21d9-4794-995d-52804115fb8b,26,3,backswing
3d47c3b9-21d9-4794-995d-52804115fb8b,36,4,impact_region
3d47c3b9-21d9-4794-995d-52804115fb8b,37,5,impact_region
3d47c3b9-21d9-4794-995d-52804115fb8b,40,6,follow_through
42f8729a-ed28-45a2-bf9b-397d2d698bb0,1,1,backswing
42f8729a-ed28-45a2-bf9b-397d2d698bb0,24,2,backswing
42f8729a-ed28-45a2-bf9b-397d2d698bb0,43,3,backswing
42f8729a-ed28-45a2-bf9b-397d2d698bb0,46,4,downswing
42f8729a-ed28-45a2-bf9b-397d2d698bb0,58,5,impact_region
42f8729a-ed28-45a2-bf9b-397d2d698bb0,63,6,follow_through
b95e3543-d28d-49db-be02-bbee7efb8425,0,1,backswing
b95e3543-d28d-49db-be02-bbee7efb8425,14,2,backswing
b95e3543-d28d-49db-be02-bbee7efb8425,27,3,downswing
