dimension,value,sessions_n,points_n,median_session_error_norm,ci_lower,ci_upper
viewpoint,dtl,21,219,0.00852820766524847,0.0075819993258756865,0.00904534935454221
viewpoint,face_on,3,31,0.0065258756824671076,0.0064444068084845,0.007454644443484767
viewpoint,other,1,10,0.011960763351937105,0.011960763351937105,0.011960763351937105
fps_bucket,31-60,18,189,0.007518321884680226,0.006160825856972099,0.008416797916416334
fps_bucket,<=30,7,71,0.011960763351937105,0.009004876268044441,0.018656074241744654
resolution_bucket,1080p+,17,173,0.007454644443484767,0.005877244905459699,0.008672430440223654
resolution_bucket,720-1080p,5,57,0.008640515281269114,0.007931582080955695,0.018656074241744654
resolution_bucket,<720p,3,30,0.011960763351937105,0.00904534935454221,0.035134101717785735
quality_grade,difficult,4,47,0.021532841899370714,0.005280062945502295,0.1704599834725421
quality_grade,good,4,40,0.007542461044876807,0.005482287675815786,0.011960763351937105
quality_grade,medium,17,173,0.008249477314601995,0.006871911386210837,0.00904534935454221
motion_class,regular,17,181,0.00852820766524847,0.0065258756824671076,0.011960763351937105
motion_class,slow,8,79,0.007915738320238841,0.005280062945502295,0.008672430440223654
club,driver,12,123,0.008221278933082775,0.006374578145835268,0.009072977100816287
club,iron,7,76,0.009004876268044441,0.007931582080955695,0.018656074241744654
club,unknown,6,61,0.006990260062975937,0.005963347242150143,0.010300639316603109
