group,value,unit,n,mean,median,p95,max
phase,backswing,error_px,105,17.537071808537114,12.717502094834135,45.481641867469726,104.32937598504925
phase,backswing,error_norm,105,0.009640824873994378,0.006602943885599849,0.022159721719326512,0.07319675548937862
phase,backswing,error_m,105,0.04886738476458568,0.03102081317249081,0.1254707623253238,0.5257821000836338
phase,backswing,error_visible_club_fraction,105,0.04886738476458568,0.03102081317249081,0.1254707623253238,0.5257821000836338
phase,downswing,error_px,44,168.30684017971532,14.515419140847865,1589.1379553804295,2185.543188753039
phase,downswing,error_norm,44,0.08113122606551762,0.007054684144984929,0.7427889081533654,0.9921176972116302
phase,downswing,error_m,44,0.40776076933585165,0.04181553850567986,3.731961817052439,5.134812594046388
phase,downswing,error_visible_club_fraction,44,0.40776076933585165,0.04181553850567986,3.731961817052439,5.134812594046388
phase,follow_through,error_px,47,113.50565359752322,18.829890395477463,706.4922854872298,1434.1472618880675
phase,follow_through,error_norm,47,0.05445834366166734,0.00940064927486842,0.32070905895723056,0.6510248281748928
phase,follow_through,error_m,47,0.2978510488871872,0.049987566974968325,1.5758449422040033,3.2499543377709603
phase,follow_through,error_visible_club_fraction,47,0.2978510488871872,0.049987566974968325,1.5758449422040033,3.2499543377709603
phase,impact_region,error_px,59,98.81658789040308,19.10875023088654,237.9152981698128,2472.976048461515
phase,impact_region,error_norm,59,0.048434383447116286,0.008849552784451781,0.17480446391259055,1.1225965769447865
phase,impact_region,error_m,59,0.24838362449926274,0.04463739644561365,0.6215268270145397,5.706164242701354
phase,impact_region,error_visible_club_fraction,59,0.24838362449926274,0.04463739644561365,0.6215268270145397,5.706164242701354
phase,transition,error_px,5,45.112042303840674,19.09604648113877,124.67839792261191,144.22902844337
phase,transition,error_norm,5,0.030658360919606227,0.008668566129559314,0.09731700181915795,0.11637187252808608
phase,transition,error_m,5,0.11457381628465638,0.033354767219827865,0.33820974796969017,0.3977061871489332
phase,transition,error_visible_club_fraction,5,0.11457381628465638,0.033354767219827865,0.33820974796969017,0.3977061871489332
overall,all,error_px,260,79.37460816900172,14.92892367831119,265.55450644163864,2472.976048461515
