scenario,metric,n,median_abs_symmetric_pct_change,median_abs_change_ci_lower,median_abs_change_ci_upper,mean_abs_symmetric_pct_change,p95_abs_symmetric_pct_change,rank_stability_spearman,rank_stability_ci_lower,rank_stability_ci_upper,response_class
combined_degradation,max_speed,71,60.824865509334984,40.53769275814154,86.1939369256569,75.8726368343551,183.2778712170313,0.07394366197183098,-0.17137443113266027,0.3524392475294511,high
combined_degradation,max_ang_vel,71,76.38327508427787,51.022177358976826,122.29694127140874,95.60315756569513,200.0,0.27205043933194717,0.010804717909070559,0.5160939147145454,high
combined_degradation,max_accel,71,93.5261265844826,64.50484585767698,110.79169876071337,91.27331040362999,168.44345431717284,0.2225016767270288,-0.01876354094055879,0.42223009113851995,high
combined_degradation,swing_tempo,71,113.84615384615381,103.69181380417335,146.06315218864344,119.36335133553825,200.0,0.004243649245978685,-0.23687898447107852,0.24812159977655684,high
combined_degradation,smoothness_index,71,15.107850622469892,11.212219835783104,17.294308701705088,16.68657527070413,38.33750646575868,0.5827967806841046,0.39334957283106187,0.7182615493109181,moderate
combined_degradation,path_efficiency,71,15.523545213600514,8.162924402121716,22.013895395727527,37.19679543210832,174.88879607955016,0.2801208117486694,0.015201135817845183,0.523941106221988,moderate
combined_degradation,curvature_rms,71,131.2551287284037,116.19783557224613,147.54694245398485,125.67708095606066,200.0,0.6788123443884391,0.4892177515060421,0.8184500054673688,high
combined_degradation,backswing_peak_speed,71,137.8355419123958,85.42722404198938,155.76793683881493,117.85118890265049,200.0,-0.006126907231226839,-0.26652368165353507,0.26870168306041586,high
frame_thinning_2x,max_speed,71,41.241780707376684,25.332128605452727,52.80357445689775,54.13424228120546,147.66281512821053,0.26891348088531186,-0.008893315266089684,0.5278813047292644,high
frame_thinning_2x,max_ang_vel,70,50.52161598979575,34.82358854826701,67.67890146386804,79.30869829689198,199.35214418477142,0.3990877993158495,0.10540439543385384,0.6553445747436119,high
frame_thinning_2x,max_accel,71,61.78244149456738,47.79312005830492,89.35135065461044,72.68545603359999,157.0646169064725,0.4166331321260898,0.2015862287532269,0.6162061793084165,high
frame_thinning_2x,swing_tempo,71,84.26395939086296,55.55555555555556,107.51794484321873,92.1328709546589,200.0,0.2859083858595306,0.04670664053483331,0.4897503211752151,high
frame_thinning_2x,smoothness_index,71,12.929952103775372,10.493124894836363,17.041109240124662,16.10060088119027,39.3375699026787,0.7300469483568075,0.5951073830551599,0.8145490148370175,moderate
frame_thinning_2x,path_efficiency,71,8.605325807215953,5.545465275810762,11.745952773748714,23.914319697807706,123.79617568791559,0.6134343878160221,0.37760700384682266,0.7795336826965931,low
frame_thinning_2x,curvature_rms,71,96.32556828942734,84.17730129989855,113.10445152298959,102.90121257674754,196.57780003622668,0.873335793106541,0.7844975958242241,0.9261407242589031,high
frame_thinning_2x,backswing_peak_speed,71,52.35167839714656,31.294160717260134,67.10277656596406,78.01676077728705,198.96075855317235,0.2928669641809163,0.009967957692395045,0.5866085802363977,high
frame_thinning_3x,max_speed,71,46.972148016318535,34.94245346943032,81.82826476327284,67.37622958690345,171.65858296094729,0.012105969148222666,-0.24400516839226083,0.27684071982836633,high
frame_thinning_3x,max_ang_vel,71,89.88026218070823,63.79577734844253,110.14660153646776,103.9083683530099,200.0,0.1325373935206922,-0.1324471366656587,0.3966249257644463,high
frame_thinning_3x,max_accel,71,72.93646835812943,54.2465493983553,112.86214025636255,84.05201425271693,189.27633474448066,0.1458752515090543,-0.11991564958920045,0.40602450354533803,high
frame_thinning_3x,swing_tempo,70,66.66666666666666,46.37681159420289,82.13128038897892,78.58710975779404,197.04918032786884,0.5007464245726053,0.2720782457903798,0.6722633483427998,high
frame_thinning_3x,smoothness_index,71,15.030439847411618,12.117889438054526,22.88888573494002,27.060084044701906,77.56415203658021,0.4442320590207913,0.20253690943810057,0.6523130825738619,moderate
frame_thinning_3x,path_efficiency,71,17.23218073744948,10.091343597530901,29.535584624515888,41.97830455805358,177.8107795178176,0.3066526934526881,0.03536640325431965,0.5674809607638484,moderate
frame_thinning_3x,curvature_rms,70,141.68187781424905,124.04032872182707,152.0257185458746,132.768297767245,198.48247493799508,0.8302703065262593,0.7068181211944665,0.9083322707176256,high
frame_thinning_3x,backswing_peak_speed,70,54.90399981967626,43.86777200999363,84.94401761096039,78.01341037275394,199.16155848771407,0.34821248910054325,0.06770930110312251,0.6512989706828564,high
jitter_sigma_0p004,max_speed,71,26.87963590975298,9.365023502497014,56.296329828604975,51.9128068265372,169.12823424583678,0.5263246143527832,0.31984272547006454,0.7168822881666377,high
jitter_sigma_0p004,max_ang_vel,70,32.09404880710457,23.003802125544425,62.21333546369159,67.55766373690051,200.0,0.8024418130851098,0.66299170822147,0.8995888366893358,high
jitter_sigma_0p004,max_accel,71,38.33514899229405,26.450345991010433,52.72240973586381,58.85670406619278,162.03418832532978,0.49107981220657265,0.2749205659742472,0.675169568268758,high
jitter_sigma_0p004,swing_tempo,68,104.79812282547131,77.25054775727398,144.29530201342283,106.95515236011343,200.0,0.26643233041116426,0.029353523019732573,0.4665319509740527,high
jitter_sigma_0p004,smoothness_index,71,7.507742092714434,5.36435965618215,10.080843466838628,10.45381889898077,33.71112376118079,0.7389336016096578,0.5777465854866711,0.8445938669058445,low
jitter_sigma_0p004,path_efficiency,71,12.998549579673224,7.9543089589928275,15.08214248375551,23.093449642843698,83.80587284543876,0.6560814146568827,0.448450688710905,0.8157447228861765,moderate
jitter_sigma_0p004,curvature_rms,68,112.87612755454376,73.08524468937208,135.400782482387,105.58522207025634,200.0,0.5082751074150563,0.28660802446750855,0.7132214672210757,high
jitter_sigma_0p004,backswing_peak_speed,68,123.8623321997824,104.10225191172609,147.29501914975438,116.28988699671353,200.0,0.3873243636057671,0.15445237888961066,0.5849814013277517,high
