dimension,value,sessions_n,points_n,median_session_error_norm,ci_lower,ci_upper
viewpoint,dtl,21,126,0.02345255367282524,0.01881883279596054,0.028841251477471058
viewpoint,face_on,3,18,0.025889136217684763,0.023539148605303685,0.02651352004718434
viewpoint,other,1,6,0.03694719546022977,0.03694719546022977,0.03694719546022977
fps_bucket,31-60,18,108,0.020494539728844734,0.01839576358031766,0.025971988425201778
fps_bucket,<=30,7,42,0.03305978339660352,0.02689408170768452,0.03694719546022977
resolution_bucket,1080p+,17,102,0.02001677436468307,0.017997879070973027,0.02607196508209956
resolution_bucket,720-1080p,5,30,0.03305978339660352,0.025430456803219217,0.0345858884643335
resolution_bucket,<720p,3,18,0.03694719546022977,0.02345255367282524,0.0753777570006274
quality_grade,difficult,4,24,0.03295161951970872,0.01881883279596054,0.0753777570006274
quality_grade,good,4,24,0.030237512341009132,0.019777478766613128,0.03694719546022977
quality_grade,medium,17,102,0.02345255367282524,0.017997879070973027,0.02689408170768452
motion_class,regular,17,102,0.02607196508209956,0.02345255367282524,0.032358460288892055
motion_class,slow,8,48,0.019417803580321805,0.01791725834343974,0.03426026470661261
club,driver,12,72,0.020494539728844734,0.017957568707206384,0.027867666592577788
club,iron,7,42,0.02607196508209956,0.01881883279596054,0.03426026470661261
club,unknown,6,36,0.026201328132434552,0.021658313685958407,0.035766541962281635
